,lr_coef,rf_importance
ACTB,0.0010519928024965966,0.0
RPS16,0.0037274014867503063,0.0003768066755693934
RPLP2,0.004065610143898549,0.00828442624247097
RPS29,0.004009035104220587,0.0
RPL36A,0.003217095242531801,0.00481395577993156
RPS20,0.005652372581511195,0.0
RPS12,0.003328869492626731,0.0014654033054033054
IGLV1-44,-0.0011298403283508435,0.00033496296296296285
IGKC,-0.0013168032864137392,0.0006925196016105106
C18orf32,0.0035937633611001643,0.0011666666666666665
LOC100508408,0.003376048754234974,0.0
RPL4,0.003374615740643967,0.0058494473786465
RPL12,0.004325780550818479,0.0021607305318954795
EIF1,0.0033537745073788385,0.0004202663815847545
MIR6805,0.0034922290029993277,0.004414785731064801
RPL8,0.005078825908470273,0.0
IGH,-0.001244362349949759,0.0
RPL29,0.0047442939944928215,0.009900533923066007
NBEAL1,0.003831834441691578,0.0035977258259152966
EEF2,0.00021569021316137081,0.0
RPL37,0.003655564906796225,0.004750503245438206
DUSP1,-0.0013010683305364895,0.0
RPL34,0.004101427069847493,0.0
RPS24,0.0029042418354211074,0.0
RPS15A,0.00174982366298058,0.0
RPS3,0.004852495785777549,0.004870752486318197
RPS27A,0.003859129328427078,0.0005506409282059076
FAU,0.002706253582643511,0.0019754726082548088
RPL21,0.0018840830767670649,0.0
HLA-G,0.003218589069474411,0.0
RPL38,0.004770933248387647,0.0008534565148136349
RPL18,0.0026681832174373756,0.0005681744862893612
RPL35,0.0050891878698464425,0.013702688147644072
LOC101060363,0.0033637275628563726,0.000479925925925926
EEF1B2,0.0022015791385383543,0.0012281447266471856
GNAS,0.000969341174511903,0.0
NACA,0.0026770373142207273,0.00015168831168831164
RPL22,0.0031503534891881213,0.0
RPL24,0.004462624087387777,0.007317172279881709
UBA52,0.005253111225113188,0.008010957710949054
UBB,-0.0007853868061416603,0.0
RPL27,0.0054955452440579745,0.0035133617559314585
FKBP11,-0.0015869886665812504,0.0
GNB2L1,0.0035017158970143277,0.008202403501391068
RPS4XP2,0.0025867557601423966,0.0
PABPC1,0.0028561435115969664,0.0
HSP90B1,-0.0016477547058190683,0.0
RPL5,0.003212222277906774,0.0011417870452436855
PPIA,0.00322883397171887,0.0
RPS21,0.004197321879484156,0.0
H3F3A,0.003651391968702218,0.0
MZB1,-0.000367339619875419,0.0
RPS5,0.00036842778161863256,5.1965811965812086e-05
OAZ1,0.0030798183578406974,0.0
RPL19,0.002306636453275524,0.001266950354609929
RPSA,0.004797969226761638,0.0032101328979733694
HLA-E,0.002772587779780377,0.0
GAPDH,0.0024337979146110893,0.0
HNRNPA1,0.002254486151673666,0.0
RPL23,0.0046936453043050575,0.003643825342851336
TSC22D3,-9.273318357249592e-05,0.0
RPN2,0.0026473488459322603,0.0
HERPUD1,-0.002050249296909997,0.0
RPL11,0.0033199877516428685,0.0
RPL6,0.002902115126005372,0.0013666666666666666
P4HB,0.001532688169738088,0.0
RPS9,0.0028257884626110568,0.0
JUND,0.0018835233941210258,0.0
SPCS2,0.0023273001145002565,0.0
CYBA,0.0028286670648700147,0.0
RPS8,0.003603931932915644,0.0
SPCS1,-0.0005694813848093968,0.0
TMEM258,-0.00034615319735138846,0.0
HSPA5,0.0013899497993326146,0.0
MCL1,-0.0022537812825682464,0.0
GLTSCR2,0.0029082173787700174,0.0
RPL35A,0.0028714287109455586,0.0
SDC1,-0.0009984634860021274,0.0
XBP1,-0.0004321246916249419,0.0
CD74,-0.0005226972596129222,0.0
LOC101928620,0.0015540093101419992,0.0
EIF4A2,0.00019281945387397012,0.0
RPS7,0.0035644230851775687,0.0
RPL14,0.0012249713738487235,0.0
PRDX4,-0.0015643270302153035,0.0
IGLL3P,-0.0027216912340955854,0.001568144272520678
HIST2H2AA3,0.001549323908224266,0.0
TXNIP,-0.0008442010220694929,0.0
RPL15,0.004080537676115178,0.0034158433726325255
TMSB10,0.003691329287546679,0.0
RPL10A,0.0029398798851703,0.0017075517075517074
PSAP,0.00021570161893273381,0.0
HSPA8,0.0006897765862704111,0.0
DNAJB9,-0.0023086254874961944,0.0
EEF1D,0.003926006943774932,0.0003824147799108675
RPS25,0.0035916103009777348,0.0
SUB1,0.003733389926127784,0.00010340136054421766
ATF4,0.0011024434809818763,0.0
PTPRO,-0.0035718522607779196,0.0
VIM,-0.00018135524534324313,0.0
TMBIM6,0.0002738294915374109,0.0
PABPC3,0.004455624925211177,5.212620027434849e-05
CALM1,0.001419002853628995,0.0
GUSBP11,-0.0014949374079582828,0.0
PDIA6,-0.0010036475013886978,0.0
LOC101928061,-0.002048910597435941,0.0
ITM2C,-0.0001789237102059592,0.0
HLA-F,0.005540082656777377,0.0
IGJ,-0.0007289493862030869,0.0
ATP5L,0.004007322043793232,0.00040318302387267905
DDX5,-0.0021054533190288873,0.0
JTB,0.0007914301666931778,0.0
TRAM1,-0.0028361552654962035,0.0
TRIB1,0.0003949252096979879,0.00015189873417721512
CANX,-0.000490998964437097,0.0
NPM1,0.001809355738358819,0.0
ITM2B,-0.0016597908566538405,0.0002000000000000001
JUN,-0.0038099368268100816,0.0
PPIB,0.0032803787147316684,0.0
FOS,-0.0040247482010944,0.0
DDX17,-0.0007961647620386989,0.0
SRGN,0.00020837807653779466,0.0
CD63,0.001460985057525512,0.0
TMEM59,0.001340820808980648,0.0
UBE2J1,0.0007632740752387826,0.0
TUBA1B,0.00035706659808993073,5.275945852134682e-05
SEC61B,0.0008623269896373835,0.0
CFL1,0.0034678379660085055,0.0
DDOST,0.0018401266004745918,0.0
MTDH,0.004093777871577989,0.0
C4orf46,0.0035444691925270375,0.0
ATP5A1,0.0021630038035419293,0.0
HMGB1,-0.002121359782072901,5.294322535701834e-05
CD53,0.003623384986921817,0.0
LOC100506248,0.004502792540663158,0.0012416851441241683
SLC25A6,0.0015286652850973186,0.0
PTMA,0.000799656947984599,0.0
SPCS3,-0.000479673180765321,0.0
SSR2,0.003829650291260516,0.0
BTF3,0.0025727964845923073,0.0013044464174437648
RPL36,0.004294798796327976,0.00999183498911842
RHOA,0.004980350748389905,0.0
HINT1,0.003954507759464355,0.007323388408430711
ST6GAL1,8.22384300738759e-05,0.0
SIK1,-0.00043321952223539787,0.0
SEL1L,-0.0017406268756160253,0.0
ERP29,0.0025277755605139676,0.0
EIF4A1,0.0011727351148365754,0.0
HSP90AB1,-1.8738808400782803e-05,0.0
ARF1,-0.00046505170231019466,0.0
RP13-258O15.1,0.003981705866343833,0.00029301204819277106
KLF2,0.0007300567671808566,0.0
HMGN2,-0.00029870572080666665,0.0
AC128677.4,-0.002120601660314198,0.0
RPS27L,0.0019719870726650035,0.0
CREB3L2,0.00044498259623116873,0.0
LOC100996747,0.001380275773029535,0.0
LOC101060373,0.0009247762495011576,0.0
TNFRSF17,0.001988275666779366,0.00037384806973848064
FOSB,-0.0035101229921323915,0.0
METTL7A,0.002347463522767621,0.0
DUSP5,-0.000217984543444475,0.0
CXCR4,-0.001078843978947321,0.0
C19orf10,0.0027327216178142954,0.0
CUTA,0.0019627521505476133,0.0006885435658303011
CHCHD2,0.0009190538902710385,0.0
PCBP2,0.0011153297371824917,0.0
IGKV1-17,-0.003080471879008416,0.0018487984104214382
TMED9,-0.000420146163404787,0.0
RNASET2,-0.0005293719488937499,0.0
COX4I1,0.0006563326638793418,0.0
HYPK,0.002545068864501467,0.0
TMED2,-0.00040675659926844957,0.0
COX7C,0.002690803597518068,0.0
ATP6V0E1,0.002955541417333228,0.0
EIF3L,0.0014254498697422254,0.0
CD48,0.0016631051484907765,0.0
HYOU1,0.0001873839840531944,0.0
FXYD5,0.0028888753056601287,0.00024667315806556307
RHOB,0.0015098436415489252,0.0
IGKV1OR2-108,-0.0029369096827680913,0.0017065637065637065
IER2,-0.0012799806119020212,0.0
RPL36AL,0.0004734570494855635,0.0
CKAP4,0.002327765112813873,0.0
HLA-J,0.0067905637916535495,0.0012055411255411257
PNN,0.0032507746153619343,0.0
NME1-NME2,0.003163775058802296,0.001971977324369551
ZFP36,-0.002357627612976855,0.0
MIF,0.0012162795742181574,0.0
IRF4,0.0014503020987259336,0.0
CECR1,-0.002332484688113387,0.0
EIF3E,0.0017449105093704617,0.0
PHB2,0.00203153951992565,0.0
SRPR,0.0009144342468771399,0.0
SEC62,-0.0015736462207425128,0.0
COMMD3,0.003999516556897859,0.0
EIF4G2,0.0034368534041422003,0.0
TMED10,-0.00018600786903863334,0.0
RABAC1,0.0013276945755758686,0.0
ATP5E,0.004644228668967462,0.0029720819423733414
LDHA,0.0027469357999677277,0.0
BTG2,-0.0017289994902465672,0.0
LOC100996696,-0.0032284338209818525,0.0
FTH1P5,0.0006165648970370343,0.00015164219662653123
ANP32B,0.0010969574098015154,0.0
