Gene Symbol,log2FC,pval,adj_pval,significant,gran_corr,purity_flag
TANC2,0.6936372458140143,0.0001482150565657855,0.006605800349364655,False,,False
SSR2,0.5108641515323686,0.00014926828302494946,0.006630416987923677,False,,False
DPM2,0.45549844185335076,0.00015112091734350606,0.006690259474501638,False,,False
NAGK,-0.7711221763934635,0.00015284961341546636,0.0067305355360439394,False,,False
NBR1,-0.5055517013702531,0.00015304760869904252,0.0067305355360439394,False,,False
PLEKHA4,0.6068797759216507,0.00015390650289687135,0.006745895294191675,False,,False
IGHV3-73,-2.13074795585203,0.0001544501971844242,0.006747383696799417,True,0.5916000489110869,True
CPVL,-2.1750806639800153,0.00016180304307388755,0.006947276164380002,True,0.5256910317070865,True
UBXN1,0.5491321391545672,0.00016143090032657802,0.006947276164380002,False,,False
NLGN4X,2.71956874993149,0.00016217483831634214,0.006947276164380002,True,-0.10898182532793113,False
ITGA2B,0.9408535853397835,0.00016109233373377233,0.006947276164380002,False,,False
CPT2,-1.0846953572659848,0.00016173789671548373,0.006947276164380002,True,0.1245147515890668,False
GTF2H2,0.8133645191822909,0.0001620462469488681,0.006947276164380002,False,,False
SNCB,0.9425057907511585,0.00016608900884656927,0.007074628423976686,False,,False
ADORA2B,-1.0492048575824953,0.0001662166230910893,0.007074628423976686,True,0.3403028590273676,False
RPL37,0.47236304617747926,0.00016736417849801642,0.00710063984223796,False,,False
HGC6.3,1.4603061984441554,0.00017007654197618378,0.007146994241710301,True,-0.19052999275627167,False
SCFD1,-0.5455181001278842,0.00016974546375367772,0.007146994241710301,False,,False
